         city_name         | state_name |                      airline_name                       | passengers 
 Hayden, CO                | Colorado   | Federal Express Corporation                             |          0
 Denver, CO                | Colorado   | Frontier Airlines Inc.                                  |        290
 Denver, CO                | Colorado   | Trans States Airlines                                   |        132
 Grand Junction, CO        | Colorado   | SkyWest Airlines Inc.                                   |       3171
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       2741
 Denver, CO                | Colorado   | GoJet Airlines LLC d/b/a United Express                 |        191
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       3465
 Denver, CO                | Colorado   | Frontier Airlines Inc.                                  |       4952
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |      13038
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       7767
 Denver, CO                | Colorado   | Boutique Air                                            |        312
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |         89
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |        479
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       3116
 Durango, CO               | Colorado   | SkyWest Airlines Inc.                                   |        230
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       1926
 Denver, CO                | Colorado   | American Airlines Inc.                                  |        267
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |        140
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |       7652
 Denver, CO                | Colorado   | Spirit Air Lines                                        |        144
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       5843
 Pueblo, CO                | Colorado   | Sun Country Airlines d/b/a MN Airlines                  |        154
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       1072
 Denver, CO                | Colorado   | SkyWest Airlines Inc.                                   |       1809
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |      17542
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |        274
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |        400
 Denver, CO                | Colorado   | GoJet Airlines LLC d/b/a United Express                 |       1686
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |        391
